iter	Passed	Remaining
0	60	5993
1	65	3195
2	72	2357
3	78	1875
4	84	1606
5	90	1419
6	95	1266
7	100	1151
8	106	1079
9	112	1009
10	119	967
11	124	912
12	129	865
13	135	831
14	140	798
15	145	766
16	151	740
17	157	719
18	163	696
19	168	674
20	174	654
21	178	634
22	185	620
23	190	603
24	196	588
25	202	576
26	207	561
27	212	545
28	219	538
29	225	527
30	232	516
31	237	505
32	243	494
33	249	484
34	254	472
35	259	460
36	263	448
37	269	438
38	273	428
39	280	420
40	285	410
41	290	401
42	294	390
43	299	381
44	304	371
45	308	362
46	314	354
47	318	345
48	324	337
49	330	330
50	334	321
51	340	313
52	348	308
53	356	303
54	362	296
55	370	291
56	377	284
57	385	279
58	391	272
59	399	266
60	406	259
61	413	253
62	419	246
63	425	239
64	436	234
65	444	229
66	451	222
67	456	214
68	463	208
69	470	201
70	475	194
71	483	187
72	488	180
73	495	174
74	501	167
75	506	160
76	514	153
77	519	146
78	525	139
79	534	133
80	540	126
81	546	119
82	551	112
83	556	105
84	564	99
85	572	93
86	580	86
87	588	80
88	598	73
89	605	67
90	614	60
91	620	53
92	628	47
93	635	40
94	647	34
95	662	27
96	676	20
97	687	14
98	700	7
99	710	0
